INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8903125, eval/precision = 0.91152924, eval/recall = 0.94599086, global_step = 50000, loss = 0.33226463
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.879375, eval/precision = 0.94378567, eval/recall = 0.8928126, global_step = 50000, loss = 0.30002075
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.913125, eval/precision = 0.91407466, eval/recall = 0.9763289, global_step = 50000, loss = 0.28551126
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9015625, eval/precision = 0.93151814, eval/recall = 0.93809724, global_step = 50000, loss = 0.31422094
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9078125, eval/precision = 0.94519395, eval/recall = 0.93144995, global_step = 50000, loss = 0.2858434
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9015625, eval/precision = 0.92485785, eval/recall = 0.94599086, global_step = 50000, loss = 0.3106817
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.866875, eval/precision = 0.93538463, eval/recall = 0.8840881, global_step = 50000, loss = 0.3280939
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9084375, eval/precision = 0.92586625, eval/recall = 0.95471543, global_step = 50000, loss = 0.3133969
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8903125, eval/precision = 0.93084663, eval/recall = 0.9227254, global_step = 50000, loss = 0.32848
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.7978125, eval/precision = 0.9, eval/recall = 0.8226007, global_step = 50000, loss = 0.42330566
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.87875, eval/precision = 0.9290268, eval/recall = 0.90818447, global_step = 50000, loss = 0.34128246
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.884375, eval/precision = 0.90464836, eval/recall = 0.94599086, global_step = 50000, loss = 0.32025525
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.901875, eval/precision = 0.9384164, eval/recall = 0.930619, global_step = 50000, loss = 0.31429604
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8953125, eval/precision = 0.9174053, eval/recall = 0.94599086, global_step = 50000, loss = 0.30623263
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8734375, eval/precision = 0.9739583, eval/recall = 0.8545908, global_step = 50000, loss = 0.3141727
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.89625, eval/precision = 0.90606654, eval/recall = 0.96177816, global_step = 50000, loss = 0.29634053
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.924375, eval/precision = 0.93986183, eval/recall = 0.9609472, global_step = 50000, loss = 0.31551847
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8740625, eval/precision = 0.9296741, eval/recall = 0.9007063, global_step = 50000, loss = 0.33297986
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.866875, eval/precision = 0.9570835, eval/recall = 0.8616535, global_step = 50000, loss = 0.3456644
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8665625, eval/precision = 0.89631706, eval/recall = 0.93020356, global_step = 50000, loss = 0.33562446
