Wall time,Step,Value
1528653747.674982,67321,-6.740880966186523
1528653752.231704,67420,-6.73183536529541
1528653756.639671,67519,-6.72299861907959
1528653761.303159,67618,-6.720728397369385
1528653765.878726,67717,-6.7146406173706055
1528653770.421014,67816,-6.695433616638184
1528653774.95003,67915,-6.687952995300293
1528653779.457738,68014,-6.682604789733887
1528653784.087561,68113,-6.675648212432861
1528653788.956591,68212,-6.659787178039551
1528653793.733349,68311,-6.653101921081543
1528653798.293985,68410,-6.646324157714844
1528653802.82608,68509,-6.632918834686279
1528653807.347574,68608,-6.623862266540527
1528653812.065251,68707,-6.623354911804199
1528653816.884176,68806,-6.615148544311523
1528653821.595068,68905,-6.607293605804443
1528653826.317536,69004,-6.596424102783203
1528653830.872103,69103,-6.592323303222656
1528653835.60507,69202,-6.5811285972595215
1528653840.166057,69301,-6.5756449699401855
1528653844.771004,69400,-6.573065757751465
1528653849.582281,69499,-6.569687843322754
